Month,Continent,HQ,re1,re2,re3,re4,bm1,bm2,bm3,bm4,pv1,pv2,pv3,pv4,Stage
September,Europe,UK,Commercial,,,,B2B,B2B2C,,,Property Management,Tenant Engagement,Smart Building,Smart City,Seed
September,APAC,India,Residential,,,,Marketplace,B2B,B2C,,PropFinTech,,,,Growth
September,North America,US,Commercial,Residential,,,,,,,CleanTech,ClimateTech,ConTech,,Seed
September,North America,US,Residential,,,,B2C,,,,Property Sales,,,,Series A
September,Europe,UK,Residential,,,,B2C,,,,Smart Home,,,,Seed
September,North America,US,Residential,,,,,,,,Co-Living,,,,Seed
September,Europe,UK,Commercial,,,,Marketplace,,,,Co-Working,,,,Seed
September,Europe,UK,Commercial,Residential,,,SaaS,,,,LegalTech,,,,Seed
September,Europe,Germany,Commercial,Residential,,,B2B,Marketplace,,,ConTech,,,,Series A
September,North America,US,Commercial,Residential,Infrastructure,,B2B,,,,Smart Building,,,,Series A
September,Europe,Estonia,Residential,,,,SaaS,B2B,,,Property Management,,,,Seed
September,Europe,UK,Residential,,,,,,,,Co-Living,Co-Working,Hybrid Letting Platform,,Growth
September,APAC,China,Commercial,,,,SaaS,,,,Hybrid Letting Platform,,,,Seed
September,Europe,France,Commercial,Residential,,,B2B2C,SaaS,Marketplace,,Property Sales,,,,Series B
September,Middle East,Israel,Infrastructure,,,,B2B,SaaS,,,ConTech,,,,Seed
September,Europe,France,Land,,,,Marketplace,SaaS,,,Property Development,,,,Seed
September,Europe,UK,Commercial,Residential,,,,,,,AR/VR,Property Management ,Smart Viewing,,Seed
October,Europe,Spain,Residential,,,,B2B,,,,ConTech,ClimateTech,Property Development,Pre-Fab,Seed
October,Europe,UK,Land,,,,Marketplace,SaaS,,,Property Sales,PropFinTech,,,Seed
October,Europe,France,Residential,Commercial,,,B2B,SaaS,,,ConTech,Property Development,Analytics,,Series A
October,Europe,Germany,Hotel,Apart-Hotel,,,,,,,HospitalityTech,Property Management System,,,Series A
October,Europe,UK,Residential,,,,,,,,Analytics,Property Management System,FinTech,,Series X
October,Europe,UK,Healthcare,,,,,,,,ConTech,AR/VR,IoT,HealthTech,Seed
October,Europe,Germany,Residential,,,,Marketplace,B2B,B2B2C,,PropFinTech,Property Sales,,,Series A
October,North America,US/Finland,Residential,Commercial,,,,,,,AR/VR,,,,Series A
October,Europe,UK,Infrastructure,,,,B2B,SaaS,,,Analytics,,,,Seed
October,North America,USA,Residential,,,,,,,,ConTech,Modular Construction,,,Seed
October,North America,US,Commercial,Residential,,,SaaS,,,,FinTech,PropFinTech,,,Seed
October,North America,US,Hotel,Apart-Hotel,,,,,,,HospitalityTech,,,,Bridge Round
October,North America,USA,Residential,,,,B2B,,,,Smart Home,IoT,,,Pre-Series A
October,North America,US,Residential,,,,B2B,,,,Hybrid Letting Platform,Smart Viewing,,,Seed
